China,80894.00,13,"3,237",11,"69,614","8,043","2,622",56
Italy,31506.00,,"2,503",,"2,941","26,062","2,060",521
Iran,17361.00,"1,192","1,135",147,"5,389","10,837",,207
Spain,13910.00,"2,084",623,90,"1,081","12,206",563,298
Germany,11302.00,"1,935",27,1,86,"11,189",2,135
S.Korea,8413.00,93,84,3,"1,540","6,789",59,164
France,7730.00,,175,,602,"6,953",699,118
USA,7403.00,992,116,7,106,"7,181",12,22
Switzerland,3070.00,328,27,,15,"3,028",,355
UK,2626.00,676,71,,65,"2,490",20,39
Netherlands,2051.00,346,58,15,2,"1,991",45,120
Austria,1646.00,314,4,,9,"1,633",12,183
Norway,1550.00,79,6,3,1,"1,543",27,286
Belgium,1486.00,243,14,4,31,"1,441",33,128
Sweden,1292.00,96,8,,1,"1,283",12,128
Denmark,1044.00,67,4,,1,"1,039",24,180
Japan,899.00,21,29,,144,726,41,7
Malaysia,790.00,117,2,,60,728,15,24
DiamondPrincess,712.00,,7,,456,249,14,
Portugal,642.00,194,2,1,4,636,18,63
Canada,598.00,,8,,12,578,1,16
Australia,565.00,110,6,1,43,516,1,22
Czechia,464.00,30,,,3,461,5,43
Qatar,442.00,,,,4,438,,153
Israel,433.00,96,,,11,422,6,50
Greece,387.00,,5,,14,368,11,37
Brazil,367.00,21,1,,2,364,18,2
Finland,359.00,37,,,10,349,2,65
Singapore,313.00,47,,,114,199,14,54
Ireland,292.00,,2,,5,285,6,59
Slovenia,286.00,11,1,,,285,4,138
Pakistan,272.00,25,,,2,270,,1
Estonia,258.00,33,,,1,257,1,194
Bahrain,255.00,14,1,,88,166,3,150
Poland,251.00,13,5,,1,245,3,7
Iceland,250.00,3,,,5,245,1,733
Romania,246.00,29,,,19,227,5,13
Chile,238.00,37,,,,238,3,12
Indonesia,227.00,55,19,12,11,197,,0.8
Thailand,212.00,35,1,,41,170,1,3
Luxembourg,203.00,63,2,1,,201,1,324
Philippines,202.00,15,17,3,4,181,1,2
Egypt,196.00,,6,,26,164,,2
HongKong,181.00,13,4,,92,85,4,24
SaudiArabia,171.00,,,,6,165,,5
Iraq,164.00,10,12,1,41,111,,4
India,155.00,12,3,,14,138,,0.1
Ecuador,155.00,44,2,,,153,2,9
Russia,147.00,33,,,8,139,,1
Kuwait,142.00,12,,,15,127,4,33
Lebanon,133.00,9,4,,4,125,3,19
SanMarino,119.00,,11,,4,104,11,"3,507"
Peru,117.00,,,,1,116,8,4
SouthAfrica,116.00,31,,,,116,,2
UAE,113.00,,,,26,87,2,11
Slovakia,105.00,8,,,,105,2,19
Armenia,102.00,24,,,1,101,2,34
Taiwan,100.00,23,1,,20,79,,4
Turkey,98.00,,1,,,97,,1
Mexico,93.00,11,,,4,89,1,0.7
Colombia,93.00,28,,,1,92,,2
Bulgaria,92.00,11,2,,,90,,13
Panama,86.00,17,1,,,85,7,20
Serbia,83.00,11,,,1,82,4,9
Croatia,81.00,12,,,5,76,,20
Argentina,79.00,,2,,3,74,1,2
Vietnam,75.00,9,,,16,59,,0.8
Algeria,72.00,11,6,1,10,56,,2
Latvia,71.00,11,,,1,70,,38
Brunei,68.00,12,,,,68,2,155
Albania,59.00,4,2,1,,57,2,21
Hungary,58.00,8,1,,2,55,4,6
FaeroeIslands,58.00,11,,,1,57,,"1,187"
Jordan,52.00,4,,,1,51,,5
Belarus,51.00,15,,,5,46,,5
SriLanka,51.00,7,,,3,48,,2
CostaRica,50.00,,,,,50,3,10
Uruguay,50.00,,,,,50,,14
Morocco,49.00,5,2,,1,46,1,1
Cyprus,49.00,,,,,49,1,41
Malta,48.00,10,,,2,46,,109
Palestine,44.00,,,,,44,,9
Andorra,39.00,,,,1,38,,505
BosniaandHerzegovina,39.00,5,,,2,37,,12
Georgia,38.00,4,,,1,37,1,10
Kazakhstan,36.00,3,,,,36,,2
Venezuela,36.00,3,,,,36,,1
Cambodia,35.00,2,,,1,34,,2
NorthMacedonia,35.00,4,,,1,34,1,17
Azerbaijan,34.00,,1,,6,27,,3
Lithuania,33.00,7,,,1,32,1,12
Oman,33.00,,,,12,21,,6
Senegal,31.00,4,,,2,29,,2
Moldova,30.00,,1,1,1,28,2,7
Tunisia,29.00,2,,,1,28,2,2
Guadeloupe,27.00,9,,,,27,,67
Afghanistan,22.00,,,,1,21,,0.6
DominicanRepublic,21.00,,1,,,20,,2
BurkinaFaso,20.00,5,1,1,,19,,1
NewZealand,20.00,,,,,20,,4
Martinique,19.00,4,1,,,18,,51
Liechtenstein,19.00,,,,,19,,498
Macao,15.00,2,,,10,5,,23
Uzbekistan,15.00,4,,,,15,,0.4
Ukraine,14.00,,2,,,12,,0.3
Bangladesh,14.00,4,1,1,3,10,,0.09
Jamaica,13.00,,,,2,11,,4
Maldives,13.00,,,,,13,,24
Bolivia,12.00,,,,,12,,1
Réunion,12.00,3,,,,12,,13
FrenchGuiana,11.00,,,,,11,,37
Paraguay,11.00,2,,,,11,1,2
Cameroon,10.00,,,,,10,,0.4
Monaco,9.00,,,,,9,,229
Honduras,9.00,1,,,,9,,0.9
Guatemala,8.00,,1,,,7,,0.4
Nigeria,8.00,5,,,1,7,,0.04
Gibraltar,8.00,5,,,2,6,,237
Guam,8.00,3,,,,8,,47
Rwanda,8.00,1,,,,8,,0.6
Cuba,7.00,,,,,7,,0.6
DRC,7.00,4,,,,7,,0.08
Ghana,7.00,,,,,7,,0.2
Kenya,7.00,3,,,,7,,0.1
TrinidadandTobago,7.00,2,,,,7,,5
ChannelIslands,6.00,,,,,6,,35
IvoryCoast,6.00,2,,,1,5,,0.2
Ethiopia,6.00,,,,,6,,0.05
Mongolia,6.00,1,,,,6,,2
Seychelles,6.00,2,,,,6,,61
PuertoRico,5.00,,,,,5,,2
Guyana,4.00,,1,,,3,,5
Aruba,4.00,1,,,,4,,37
EquatorialGuinea,4.00,3,,,,4,,3
Curaçao,3.00,,,,,3,,18
FrenchPolynesia,3.00,,,,,3,,11
Gabon,3.00,,,,,3,,1
Kyrgyzstan,3.00,3,,,,3,,0.5
Mayotte,3.00,,,,,3,,11
St.Barth,3.00,,,,,3,,304
SaintMartin,3.00,1,,,,3,,78
Tanzania,3.00,2,,,,3,,0.05
Sudan,2.00,1,1,,,1,,0.05
Barbados,2.00,,,,,2,,7
Benin,2.00,1,,,,2,,0.2
Liberia,2.00,,,,,2,,0.4
Mauritania,2.00,1,,,,2,,0.4
Montenegro,2.00,,,,,2,,3
Namibia,2.00,,,,,2,,0.8
NewCaledonia,2.00,2,,,,2,,7
SaintLucia,2.00,,,,,2,,11
U.S.VirginIslands,2.00,,,,,2,,19
Zambia,2.00,2,,,,2,,0.1
CaymanIslands,1.00,,1,,,0,,15
Nepal,1.00,,,,1,0,,0.03
AntiguaandBarbuda,1.00,,,,,1,,10
Bahamas,1.00,,,,,1,,3
Bhutan,1.00,,,,,1,,1
CAR,1.00,,,,,1,,0.2
Congo,1.00,,,,,1,,0.2
Djibouti,1.00,1,,,,1,,1
Gambia,1.00,,,,,1,,0.4
Greenland,1.00,,,,,1,,18
Guinea,1.00,,,,,1,,0.08
VaticanCity,1.00,,,,,1,,"1,248"
Montserrat,1.00,1,,,,1,,200
St.VincentGrenadines,1.00,,,,,1,,9
Somalia,1.00,,,,,1,,0.06
Suriname,1.00,,,,,1,,2
Eswatini,1.00,,,,,1,,0.9
Togo,1.00,,,,,1,,0.1
