China,80894,3237,Asia
Italy,31506,2503,Europe
Iran,17361,1135,Asia
Spain,13910,623,Europe
France,7730,175,Europe
US,7301,116,NorthAmerica
SouthKorea,8413,84,Asia
UK,1950,71,Europe
Netherlands,2051,58,Europe
Japan(+DP),1601,36,Asia
Germany,10082,27,Europe
Switzerland,2742,27,Europe
Indonesia,227,19,Asia
Philippines,202,17,Asia
Belgium,1486,14,Europe
Iraq,164,12,Asia
SanMarino,119,11,Europe
Sweden,1292,8,Europe
Canada,598,8,NorthAmerica
Norway,1527,6,Europe
Australia,565,6,Australia/Oceania
Egypt,196,6,Africa
Algeria,72,6,Africa
Greece,387,5,Europe
Poland,251,5,Europe
Denmark,1044,4,Europe
HongKong,181,4,Asia
Lebanon,133,4,Asia
Austria,1471,3,Europe
India,152,3,Asia
Malaysia,790,2,Asia
Portugal,642,2,Europe
Ireland,292,2,Europe
Luxembourg,203,2,Europe
Ecuador,155,2,SouthAmerica
Bulgaria,81,2,Europe
Argentina,79,2,SouthAmerica
Albania,59,2,Europe
Morocco,49,2,Africa
Ukraine,14,2,Europe
Brazil,350,1,SouthAmerica
Slovenia,286,1,Europe
Bahrain,255,1,Asia
Thailand,212,1,Asia
Slovakia,105,1,Europe
Taiwan,100,1,Asia
Turkey,98,1,Asia
Panama,86,1,NorthAmerica
Hungary,58,1,Europe
Azerbaijan,34,1,Asia
Moldova,30,1,Europe
DominicanRep,21,1,NorthAmerica
BurkFaso,20,1,Africa
Martinique,19,1,NorthAmerica
Bangladesh,14,1,Asia
Guyana,11,1,SouthAmerica
Guatemala,8,1,NorthAmerica
Sudan,2,1,Africa
CaymanIsl,1,1,NorthAmerica
